latitude, longitude, Year, TXx
-43.50,146.00,1910, 26.69
-43.50,146.00,1920, 31.62
-43.50,146.00,1930, 30.65
-43.50,146.00,1940, 32.22
-43.50,146.00,1950, 33.18
-43.50,146.00,1960, 34.61
-43.50,146.00,1970, 29.56
-43.50,146.00,1980, 29.95
-43.50,146.00,1990, 30.25
-43.50,146.00,2000, 28.88
-43.50,146.00,2010, 33.33
-43.50,146.00,2020, 37.17
-43.50,146.25,1910, 26.78
-43.50,146.25,1920, 32.89
-43.50,146.25,1930, 31.48
-43.50,146.25,1940, 33.20
-43.50,146.25,1950, 34.51
-43.50,146.25,1960, 35.31
-43.50,146.25,1970, 29.89
-43.50,146.25,1980, 29.50
-43.50,146.25,1990, 30.80
-43.50,146.25,2000, 28.89
-43.50,146.25,2010, 33.66
-43.50,146.25,2020, 37.65
-43.50,146.50,1910, 23.41
-43.50,146.50,1920, 30.65
-43.50,146.50,1930, 28.69
-43.50,146.50,1940, 30.25
-43.50,146.50,1950, 31.70
-43.50,146.50,1960, 32.58
-43.50,146.50,1970, 26.50
-43.50,146.50,1980, 27.21
-43.50,146.50,1990, 27.70
-43.50,146.50,2000, 25.92
-43.50,146.50,2010, 30.48
-43.50,146.50,2020, 34.82
-43.50,146.75,1910, 20.47
-43.50,146.75,1920, 28.98
-43.50,146.75,1930, 25.94
-43.50,146.75,1940, 27.76
-43.50,146.75,1950, 28.75
-43.50,146.75,1960, 30.37
-43.50,146.75,1970, 23.41
-43.50,146.75,1980, 25.25
-43.50,146.75,1990, 25.08
-43.50,146.75,2000, 23.54
-43.50,146.75,2010, 27.40
-43.50,146.75,2020, 32.29
-43.50,147.00,1910, 26.49
-43.50,147.00,1920, 36.78
-43.50,147.00,1930, 32.25
-43.50,147.00,1940, 35.02
-43.50,147.00,1950, 35.51
-43.50,147.00,1960, 37.15
-43.50,147.00,1970, 29.67
-43.50,147.00,1980, 31.42
-43.50,147.00,1990, 32.08
-43.50,147.00,2000, 30.70
-43.50,147.00,2010, 32.92
-43.50,147.00,2020, 38.42
-43.25,145.75,1910, 27.08
-43.25,145.75,1920, 30.33
-43.25,145.75,1930, 29.64
-43.25,145.75,1940, 31.10
-43.25,145.75,1950, 32.47
-43.25,145.75,1960, 33.71
-43.25,145.75,1970, 30.57
-43.25,145.75,1980, 32.42
-43.25,145.75,1990, 30.21
-43.25,145.75,2000, 30.50
-43.25,145.75,2010, 34.44
-43.25,145.75,2020, 37.52
-43.25,146.00,1910, 27.12
-43.25,146.00,1920, 31.57
-43.25,146.00,1930, 30.42
-43.25,146.00,1940, 32.02
-43.25,146.00,1950, 33.43
-43.25,146.00,1960, 34.47
-43.25,146.00,1970, 30.72
-43.25,146.00,1980, 31.75
-43.25,146.00,1990, 30.49
-43.25,146.00,2000, 30.22
-43.25,146.00,2010, 34.93
-43.25,146.00,2020, 37.88
-43.25,146.25,1910, 23.44
-43.25,146.25,1920, 29.22
-43.25,146.25,1930, 27.97
-43.25,146.25,1940, 29.08
-43.25,146.25,1950, 30.63
-43.25,146.25,1960, 31.51
-43.25,146.25,1970, 26.96
-43.25,146.25,1980, 28.06
-43.25,146.25,1990, 27.17
-43.25,146.25,2000, 26.28
-43.25,146.25,2010, 31.66
-43.25,146.25,2020, 34.68
-43.25,146.50,1910, 22.11
-43.25,146.50,1920, 29.53
-43.25,146.50,1930, 27.34
-43.25,146.50,1940, 28.59
-43.25,146.50,1950, 29.69
-43.25,146.50,1960, 31.22
-43.25,146.50,1970, 25.46
-43.25,146.50,1980, 27.41
-43.25,146.50,1990, 26.02
-43.25,146.50,2000, 24.91
-43.25,146.50,2010, 30.30
-43.25,146.50,2020, 33.62
-43.25,146.75,1910, 22.02
-43.25,146.75,1920, 31.35
-43.25,146.75,1930, 27.45
-43.25,146.75,1940, 29.26
-43.25,146.75,1950, 30.02
-43.25,146.75,1960, 32.01
-43.25,146.75,1970, 25.14
-43.25,146.75,1980, 27.84
-43.25,146.75,1990, 27.00
-43.25,146.75,2000, 25.56
-43.25,146.75,2010, 29.86
-43.25,146.75,2020, 33.70
-43.25,147.00,1910, 26.54
-43.25,147.00,1920, 37.17
-43.25,147.00,1930, 32.34
-43.25,147.00,1940, 34.77
-43.25,147.00,1950, 35.11
-43.25,147.00,1960, 37.25
-43.25,147.00,1970, 29.44
-43.25,147.00,1980, 32.41
-43.25,147.00,1990, 32.47
-43.25,147.00,2000, 30.96
-43.25,147.00,2010, 33.72
-43.25,147.00,2020, 38.26
-43.25,147.25,1910, 27.19
-43.25,147.25,1920, 38.57
-43.25,147.25,1930, 33.11
-43.25,147.25,1940, 36.24
-43.25,147.25,1950, 36.26
-43.25,147.25,1960, 38.28
-43.25,147.25,1970, 29.65
-43.25,147.25,1980, 33.09
-43.25,147.25,1990, 33.93
-43.25,147.25,2000, 32.49
-43.25,147.25,2010, 33.74
-43.25,147.25,2020, 38.78
-43.25,147.50,1910, 27.41
-43.25,147.50,1920, 38.64
-43.25,147.50,1930, 32.63
-43.25,147.50,1940, 36.41
-43.25,147.50,1950, 36.13
-43.25,147.50,1960, 38.16
-43.25,147.50,1970, 28.56
-43.25,147.50,1980, 32.58
-43.25,147.50,1990, 34.15
-43.25,147.50,2000, 32.84
-43.25,147.50,2010, 33.08
-43.25,147.50,2020, 37.98
-43.25,147.75,1910, 27.64
-43.25,147.75,1920, 38.62
-43.25,147.75,1930, 32.09
-43.25,147.75,1940, 36.51
-43.25,147.75,1950, 35.94
-43.25,147.75,1960, 38.00
-43.25,147.75,1970, 28.14
-43.25,147.75,1980, 32.22
-43.25,147.75,1990, 34.24
-43.25,147.75,2000, 33.21
-43.25,147.75,2010, 32.22
-43.25,147.75,2020, 36.95
-43.25,148.00,1910, 27.87
-43.25,148.00,1920, 37.91
-43.25,148.00,1930, 31.51
-43.25,148.00,1940, 36.65
-43.25,148.00,1950, 35.82
-43.25,148.00,1960, 37.87
-43.25,148.00,1970, 27.76
-43.25,148.00,1980, 32.61
-43.25,148.00,1990, 34.34
-43.25,148.00,2000, 33.63
-43.25,148.00,2010, 32.09
-43.25,148.00,2020, 35.82
-43.00,145.50,1910, 27.74
-43.00,145.50,1920, 28.59
-43.00,145.50,1930, 28.19
-43.00,145.50,1940, 29.70
-43.00,145.50,1950, 31.04
-43.00,145.50,1960, 31.46
-43.00,145.50,1970, 30.78
-43.00,145.50,1980, 34.34
-43.00,145.50,1990, 30.76
-43.00,145.50,2000, 31.27
-43.00,145.50,2010, 34.53
-43.00,145.50,2020, 36.95
-43.00,145.75,1910, 27.70
-43.00,145.75,1920, 29.86
-43.00,145.75,1930, 28.94
-43.00,145.75,1940, 30.60
-43.00,145.75,1950, 32.36
-43.00,145.75,1960, 32.72
-43.00,145.75,1970, 31.10
-43.00,145.75,1980, 34.04
-43.00,145.75,1990, 31.21
-43.00,145.75,2000, 31.36
-43.00,145.75,2010, 35.24
-43.00,145.75,2020, 37.57
-43.00,146.00,1910, 27.22
-43.00,146.00,1920, 30.87
-43.00,146.00,1930, 29.55
-43.00,146.00,1940, 31.16
-43.00,146.00,1950, 33.34
-43.00,146.00,1960, 33.61
-43.00,146.00,1970, 30.76
-43.00,146.00,1980, 33.09
-43.00,146.00,1990, 31.19
-43.00,146.00,2000, 31.08
-43.00,146.00,2010, 35.45
-43.00,146.00,2020, 37.64
-43.00,146.25,1910, 26.32
-43.00,146.25,1920, 31.67
-43.00,146.25,1930, 30.21
-43.00,146.25,1940, 31.53
-43.00,146.25,1950, 33.33
-43.00,146.25,1960, 33.98
-43.00,146.25,1970, 29.79
-43.00,146.25,1980, 31.67
-43.00,146.25,1990, 30.61
-43.00,146.25,2000, 30.41
-43.00,146.25,2010, 34.96
-43.00,146.25,2020, 37.14
-43.00,146.50,1910, 26.82
-43.00,146.50,1920, 34.17
-43.00,146.50,1930, 32.03
-43.00,146.50,1940, 33.24
-43.00,146.50,1950, 34.23
-43.00,146.50,1960, 35.49
-43.00,146.50,1970, 30.00
-43.00,146.50,1980, 32.52
-43.00,146.50,1990, 31.15
-43.00,146.50,2000, 31.05
-43.00,146.50,2010, 35.41
-43.00,146.50,2020, 37.82
-43.00,146.75,1910, 26.17
-43.00,146.75,1920, 35.22
-43.00,146.75,1930, 31.63
-43.00,146.75,1940, 33.33
-43.00,146.75,1950, 33.95
-43.00,146.75,1960, 35.67
-43.00,146.75,1970, 29.02
-43.00,146.75,1980, 32.19
-43.00,146.75,1990, 31.06
-43.00,146.75,2000, 30.60
-43.00,146.75,2010, 34.43
-43.00,146.75,2020, 37.34
-43.00,147.00,1910, 27.81
-43.00,147.00,1920, 37.56
-43.00,147.00,1930, 33.54
-43.00,147.00,1940, 35.71
-43.00,147.00,1950, 35.96
-43.00,147.00,1960, 37.97
-43.00,147.00,1970, 30.23
-43.00,147.00,1980, 33.86
-43.00,147.00,1990, 33.61
-43.00,147.00,2000, 32.33
-43.00,147.00,2010, 35.36
-43.00,147.00,2020, 38.97
-43.00,147.25,1910, 27.69
-43.00,147.25,1920, 38.02
-43.00,147.25,1930, 33.22
-43.00,147.25,1940, 36.18
-43.00,147.25,1950, 36.17
-43.00,147.25,1960, 38.02
-43.00,147.25,1970, 29.54
-43.00,147.25,1980, 33.44
-43.00,147.25,1990, 34.16
-43.00,147.25,2000, 32.85
-43.00,147.25,2010, 34.03
-43.00,147.25,2020, 38.53
-43.00,147.75,1910, 29.15
-43.00,147.75,1920, 38.76
-43.00,147.75,1930, 32.30
-43.00,147.75,1940, 37.24
-43.00,147.75,1950, 36.49
-43.00,147.75,1960, 38.22
-43.00,147.75,1970, 28.39
-43.00,147.75,1980, 33.70
-43.00,147.75,1990, 35.14
-43.00,147.75,2000, 34.20
-43.00,147.75,2010, 32.33
-43.00,147.75,2020, 37.20
-43.00,148.00,1910, 29.34
-43.00,148.00,1920, 38.70
-43.00,148.00,1930, 31.88
-43.00,148.00,1940, 37.40
-43.00,148.00,1950, 36.24
-43.00,148.00,1960, 37.91
-43.00,148.00,1970, 27.84
-43.00,148.00,1980, 33.66
-43.00,148.00,1990, 35.07
-43.00,148.00,2000, 34.47
-43.00,148.00,2010, 31.89
-43.00,148.00,2020, 35.85
-42.75,145.25,1910, 29.19
-42.75,145.25,1920, 29.94
-42.75,145.25,1930, 26.42
-42.75,145.25,1940, 28.05
-42.75,145.25,1950, 28.42
-42.75,145.25,1960, 29.96
-42.75,145.25,1970, 30.13
-42.75,145.25,1980, 35.47
-42.75,145.25,1990, 31.45
-42.75,145.25,2000, 32.85
-42.75,145.25,2010, 34.33
-42.75,145.25,2020, 35.13
-42.75,145.50,1910, 28.41
-42.75,145.50,1920, 28.94
-42.75,145.50,1930, 26.51
-42.75,145.50,1940, 28.12
-42.75,145.50,1950, 29.37
-42.75,145.50,1960, 30.50
-42.75,145.50,1970, 29.72
-42.75,145.50,1980, 34.27
-42.75,145.50,1990, 30.76
-42.75,145.50,2000, 32.01
-42.75,145.50,2010, 34.16
-42.75,145.50,2020, 35.51
-42.75,145.75,1910, 28.23
-42.75,145.75,1920, 28.50
-42.75,145.75,1930, 27.54
-42.75,145.75,1940, 29.31
-42.75,145.75,1950, 31.45
-42.75,145.75,1960, 32.36
-42.75,145.75,1970, 30.29
-42.75,145.75,1980, 34.26
-42.75,145.75,1990, 31.20
-42.75,145.75,2000, 32.22
-42.75,145.75,2010, 35.03
-42.75,145.75,2020, 36.53
-42.75,146.00,1910, 26.56
-42.75,146.00,1920, 28.91
-42.75,146.00,1930, 27.42
-42.75,146.00,1940, 29.08
-42.75,146.00,1950, 31.83
-42.75,146.00,1960, 31.69
-42.75,146.00,1970, 29.15
-42.75,146.00,1980, 32.79
-42.75,146.00,1990, 30.47
-42.75,146.00,2000, 31.17
-42.75,146.00,2010, 34.53
-42.75,146.00,2020, 35.98
-42.75,146.25,1910, 27.06
-42.75,146.25,1920, 31.46
-42.75,146.25,1930, 29.62
-42.75,146.25,1940, 31.28
-42.75,146.25,1950, 33.62
-42.75,146.25,1960, 33.33
-42.75,146.25,1970, 29.77
-42.75,146.25,1980, 33.04
-42.75,146.25,1990, 31.40
-42.75,146.25,2000, 32.13
-42.75,146.25,2010, 35.61
-42.75,146.25,2020, 37.05
-42.75,146.50,1910, 26.04
-42.75,146.50,1920, 32.70
-42.75,146.50,1930, 30.75
-42.75,146.50,1940, 31.99
-42.75,146.50,1950, 33.26
-42.75,146.50,1960, 33.39
-42.75,146.50,1970, 28.60
-42.75,146.50,1980, 31.67
-42.75,146.50,1990, 30.57
-42.75,146.50,2000, 31.55
-42.75,146.50,2010, 34.75
-42.75,146.50,2020, 36.41
-42.75,146.75,1910, 24.09
-42.75,146.75,1920, 32.48
-42.75,146.75,1930, 29.14
-42.75,146.75,1940, 30.91
-42.75,146.75,1950, 31.67
-42.75,146.75,1960, 32.30
-42.75,146.75,1970, 26.33
-42.75,146.75,1980, 30.10
-42.75,146.75,1990, 28.95
-42.75,146.75,2000, 30.04
-42.75,146.75,2010, 32.53
-42.75,146.75,2020, 34.72
-42.75,147.00,1910, 29.59
-42.75,147.00,1920, 38.62
-42.75,147.00,1930, 34.59
-42.75,147.00,1940, 36.98
-42.75,147.00,1950, 37.39
-42.75,147.00,1960, 38.33
-42.75,147.00,1970, 31.32
-42.75,147.00,1980, 35.11
-42.75,147.00,1990, 34.81
-42.75,147.00,2000, 35.26
-42.75,147.00,2010, 36.90
-42.75,147.00,2020, 39.86
-42.75,147.25,1910, 30.19
-42.75,147.25,1920, 39.16
-42.75,147.25,1930, 34.12
-42.75,147.25,1940, 37.62
-42.75,147.25,1950, 37.64
-42.75,147.25,1960, 38.54
-42.75,147.25,1970, 30.72
-42.75,147.25,1980, 34.66
-42.75,147.25,1990, 35.52
-42.75,147.25,2000, 35.29
-42.75,147.25,2010, 35.58
-42.75,147.25,2020, 39.51
-42.75,147.50,1910, 30.99
-42.75,147.50,1920, 38.95
-42.75,147.50,1930, 33.34
-42.75,147.50,1940, 37.60
-42.75,147.50,1950, 37.16
-42.75,147.50,1960, 38.21
-42.75,147.50,1970, 29.23
-42.75,147.50,1980, 34.30
-42.75,147.50,1990, 35.65
-42.75,147.50,2000, 34.78
-42.75,147.50,2010, 33.50
-42.75,147.50,2020, 38.47
-42.75,147.75,1910, 30.15
-42.75,147.75,1920, 37.11
-42.75,147.75,1930, 31.74
-42.75,147.75,1940, 36.04
-42.75,147.75,1950, 35.07
-42.75,147.75,1960, 36.25
-42.75,147.75,1970, 26.65
-42.75,147.75,1980, 32.20
-42.75,147.75,1990, 33.93
-42.75,147.75,2000, 33.23
-42.75,147.75,2010, 30.70
-42.75,147.75,2020, 35.47
-42.75,148.00,1910, 32.36
-42.75,148.00,1920, 38.91
-42.75,148.00,1930, 33.61
-42.75,148.00,1940, 38.28
-42.75,148.00,1950, 36.63
-42.75,148.00,1960, 37.58
-42.75,148.00,1970, 27.89
-42.75,148.00,1980, 33.80
-42.75,148.00,1990, 35.61
-42.75,148.00,2000, 35.26
-42.75,148.00,2010, 32.03
-42.75,148.00,2020, 35.83
-42.50,145.25,1910, 29.57
-42.50,145.25,1920, 30.35
-42.50,145.25,1930, 26.20
-42.50,145.25,1940, 27.96
-42.50,145.25,1950, 28.06
-42.50,145.25,1960, 30.05
-42.50,145.25,1970, 29.96
-42.50,145.25,1980, 35.87
-42.50,145.25,1990, 31.34
-42.50,145.25,2000, 34.05
