latitude,longitude,Year,TMm
-43.50,146.00,1910, 11.85
-43.50,146.00,1920, 11.76
-43.50,146.00,1930, 11.94
-43.50,146.00,1940, 11.64
-43.50,146.00,1950, 11.67
-43.50,146.00,1960, 11.76
-43.50,146.00,1970, 11.46
-43.50,146.00,1980, 12.24
-43.50,146.00,1990, 12.07
-43.50,146.00,2000, 12.51
-43.50,146.00,2010, 12.41
-43.50,146.00,2020, 12.19
-43.50,146.25,1910, 11.83
-43.50,146.25,1920, 11.74
-43.50,146.25,1930, 11.95
-43.50,146.25,1940, 11.60
-43.50,146.25,1950, 11.66
-43.50,146.25,1960, 11.73
-43.50,146.25,1970, 11.47
-43.50,146.25,1980, 12.24
-43.50,146.25,1990, 12.08
-43.50,146.25,2000, 12.48
-43.50,146.25,2010, 12.36
-43.50,146.25,2020, 12.16
-43.50,146.50,1910,8.46
-43.50,146.50,1920,8.36
-43.50,146.50,1930,8.58
-43.50,146.50,1940,8.22
-43.50,146.50,1950,8.27
-43.50,146.50,1960,8.33
-43.50,146.50,1970,8.12
-43.50,146.50,1980,8.93
-43.50,146.50,1990,8.79
-43.50,146.50,2000,9.16
-43.50,146.50,2010,9.02
-43.50,146.50,2020,8.85
-43.50,146.75,1910,5.93
-43.50,146.75,1920,5.82
-43.50,146.75,1930,6.04
-43.50,146.75,1940,5.70
-43.50,146.75,1950,5.72
-43.50,146.75,1960,5.77
-43.50,146.75,1970,5.59
-43.50,146.75,1980,6.44
-43.50,146.75,1990,6.32
-43.50,146.75,2000,6.66
-43.50,146.75,2010,6.51
-43.50,146.75,2020,6.37
-43.50,147.00,1910, 11.70
-43.50,147.00,1920, 11.58
-43.50,147.00,1930, 11.80
-43.50,147.00,1940, 11.47
-43.50,147.00,1950, 11.48
-43.50,147.00,1960, 11.52
-43.50,147.00,1970, 11.36
-43.50,147.00,1980, 12.23
-43.50,147.00,1990, 12.12
-43.50,147.00,2000, 12.44
-43.50,147.00,2010, 12.30
-43.50,147.00,2020, 12.18
-43.25,145.75,1910, 11.84
-43.25,145.75,1920, 11.75
-43.25,145.75,1930, 11.90
-43.25,145.75,1940, 11.62
-43.25,145.75,1950, 11.67
-43.25,145.75,1960, 11.75
-43.25,145.75,1970, 11.46
-43.25,145.75,1980, 12.23
-43.25,145.75,1990, 12.03
-43.25,145.75,2000, 12.59
-43.25,145.75,2010, 12.45
-43.25,145.75,2020, 12.29
-43.25,146.00,1910, 11.66
-43.25,146.00,1920, 11.57
-43.25,146.00,1930, 11.73
-43.25,146.00,1940, 11.44
-43.25,146.00,1950, 11.49
-43.25,146.00,1960, 11.56
-43.25,146.00,1970, 11.30
-43.25,146.00,1980, 12.05
-43.25,146.00,1990, 11.87
-43.25,146.00,2000, 12.39
-43.25,146.00,2010, 12.23
-43.25,146.00,2020, 12.05
-43.25,146.25,1910,8.06
-43.25,146.25,1920,7.96
-43.25,146.25,1930,8.15
-43.25,146.25,1940,7.83
-43.25,146.25,1950,7.87
-43.25,146.25,1960,7.93
-43.25,146.25,1970,7.70
-43.25,146.25,1980,8.49
-43.25,146.25,1990,8.33
-43.25,146.25,2000,8.80
-43.25,146.25,2010,8.62
-43.25,146.25,2020,8.44
-43.25,146.50,1910,6.83
-43.25,146.50,1920,6.73
-43.25,146.50,1930,6.93
-43.25,146.50,1940,6.61
-43.25,146.50,1950,6.63
-43.25,146.50,1960,6.68
-43.25,146.50,1970,6.48
-43.25,146.50,1980,7.31
-43.25,146.50,1990,7.17
-43.25,146.50,2000,7.58
-43.25,146.50,2010,7.39
-43.25,146.50,2020,7.23
-43.25,146.75,1910,6.84
-43.25,146.75,1920,6.73
-43.25,146.75,1930,6.93
-43.25,146.75,1940,6.62
-43.25,146.75,1950,6.62
-43.25,146.75,1960,6.67
-43.25,146.75,1970,6.48
-43.25,146.75,1980,7.35
-43.25,146.75,1990,7.22
-43.25,146.75,2000,7.59
-43.25,146.75,2010,7.40
-43.25,146.75,2020,7.25
-43.25,147.00,1910, 10.56
-43.25,147.00,1920, 10.45
-43.25,147.00,1930, 10.64
-43.25,147.00,1940, 10.36
-43.25,147.00,1950, 10.36
-43.25,147.00,1960, 10.40
-43.25,147.00,1970, 10.22
-43.25,147.00,1980, 11.11
-43.25,147.00,1990, 10.99
-43.25,147.00,2000, 11.33
-43.25,147.00,2010, 11.14
-43.25,147.00,2020, 11.02
-43.25,147.25,1910, 12.11
-43.25,147.25,1920, 11.99
-43.25,147.25,1930, 12.18
-43.25,147.25,1940, 11.91
-43.25,147.25,1950, 11.85
-43.25,147.25,1960, 11.88
-43.25,147.25,1970, 11.70
-43.25,147.25,1980, 12.65
-43.25,147.25,1990, 12.52
-43.25,147.25,2000, 12.85
-43.25,147.25,2010, 12.69
-43.25,147.25,2020, 12.57
-43.25,147.50,1910, 12.38
-43.25,147.50,1920, 12.25
-43.25,147.50,1930, 12.44
-43.25,147.50,1940, 12.18
-43.25,147.50,1950, 12.10
-43.25,147.50,1960, 12.11
-43.25,147.50,1970, 11.93
-43.25,147.50,1980, 12.92
-43.25,147.50,1990, 12.78
-43.25,147.50,2000, 13.11
-43.25,147.50,2010, 12.98
-43.25,147.50,2020, 12.87
-43.25,147.75,1910, 12.47
-43.25,147.75,1920, 12.33
-43.25,147.75,1930, 12.52
-43.25,147.75,1940, 12.28
-43.25,147.75,1950, 12.18
-43.25,147.75,1960, 12.18
-43.25,147.75,1970, 12.00
-43.25,147.75,1980, 12.99
-43.25,147.75,1990, 12.83
-43.25,147.75,2000, 13.17
-43.25,147.75,2010, 13.09
-43.25,147.75,2020, 12.98
-43.25,148.00,1910, 12.52
-43.25,148.00,1920, 12.37
-43.25,148.00,1930, 12.55
-43.25,148.00,1940, 12.33
-43.25,148.00,1950, 12.20
-43.25,148.00,1960, 12.20
-43.25,148.00,1970, 12.01
-43.25,148.00,1980, 13.02
-43.25,148.00,1990, 12.83
-43.25,148.00,2000, 13.18
-43.25,148.00,2010, 13.17
-43.25,148.00,2020, 13.04
-43.00,145.50,1910, 11.88
-43.00,145.50,1920, 11.80
-43.00,145.50,1930, 11.89
-43.00,145.50,1940, 11.64
-43.00,145.50,1950, 11.72
-43.00,145.50,1960, 11.82
-43.00,145.50,1970, 11.54
-43.00,145.50,1980, 12.29
-43.00,145.50,1990, 12.09
-43.00,145.50,2000, 12.69
-43.00,145.50,2010, 12.50
-43.00,145.50,2020, 12.42
-43.00,145.75,1910, 11.68
-43.00,145.75,1920, 11.59
-43.00,145.75,1930, 11.71
-43.00,145.75,1940, 11.44
-43.00,145.75,1950, 11.53
-43.00,145.75,1960, 11.61
-43.00,145.75,1970, 11.34
-43.00,145.75,1980, 12.09
-43.00,145.75,1990, 11.87
-43.00,145.75,2000, 12.48
-43.00,145.75,2010, 12.27
-43.00,145.75,2020, 12.15
-43.00,146.00,1910, 11.03
-43.00,146.00,1920, 10.94
-43.00,146.00,1930, 11.08
-43.00,146.00,1940, 10.80
-43.00,146.00,1950, 10.88
-43.00,146.00,1960, 10.93
-43.00,146.00,1970, 10.69
-43.00,146.00,1980, 11.44
-43.00,146.00,1990, 11.23
-43.00,146.00,2000, 11.81
-43.00,146.00,2010, 11.60
-43.00,146.00,2020, 11.43
-43.00,146.25,1910,9.91
-43.00,146.25,1920,9.82
-43.00,146.25,1930,9.97
-43.00,146.25,1940,9.70
-43.00,146.25,1950,9.74
-43.00,146.25,1960,9.79
-43.00,146.25,1970,9.57
-43.00,146.25,1980, 10.36
-43.00,146.25,1990, 10.16
-43.00,146.25,2000, 10.70
-43.00,146.25,2010, 10.47
-43.00,146.25,2020, 10.28
-43.00,146.50,1910,9.93
-43.00,146.50,1920,9.83
-43.00,146.50,1930, 10.00
-43.00,146.50,1940,9.73
-43.00,146.50,1950,9.75
-43.00,146.50,1960,9.79
-43.00,146.50,1970,9.59
-43.00,146.50,1980, 10.43
-43.00,146.50,1990, 10.25
-43.00,146.50,2000, 10.73
-43.00,146.50,2010, 10.49
-43.00,146.50,2020, 10.31
-43.00,146.75,1910,9.34
-43.00,146.75,1920,9.24
-43.00,146.75,1930,9.40
-43.00,146.75,1940,9.15
-43.00,146.75,1950,9.15
-43.00,146.75,1960,9.18
-43.00,146.75,1970,8.99
-43.00,146.75,1980,9.86
-43.00,146.75,1990,9.70
-43.00,146.75,2000, 10.12
-43.00,146.75,2010,9.88
-43.00,146.75,2020,9.72
