latitude,longitude,Year,TXm
-43,146,2000,16.01
-43,146,2001,15.82
-43,146,2002,15.57
-43,146,2003,15.61
-43,146,2004,14.72
-43,146,2005,15.64
-43,146,2006,14.88
-43,146,2007,16.25
-43,146,2008,15.43
-43,146,2009,15.56
-43,146,2010,15.77
-43,146,2011,15.45
-43,146,2012,15.77
-43,146,2013,15.92
-43,146,2014,16.28
-43,146,2015,15.51
-43,146,2016,15.92
-43,146,2017,16
-43,146,2018,16.08
-43,146,2019,15.69
-43,146,2020,15.42
-43,146,2021,15.68
-43,146,2022,16.23
-43,147,2000,16.8
-43,147,2001,16.49
-43,147,2002,16.56
-43,147,2003,16.48
-43,147,2004,15.74
-43,147,2005,16.64
-43,147,2006,15.99
-43,147,2007,16.95
-43,147,2008,16.4
-43,147,2009,16.28
-43,147,2010,16.72
-43,147,2011,16.17
-43,147,2012,16.61
-43,147,2013,16.76
-43,147,2014,17.06
-43,147,2015,16.41
-43,147,2016,16.84
-43,147,2017,17.02
-43,147,2018,16.9
-43,147,2019,17.03
-43,147,2020,16.28
-43,147,2021,16.39
-43,147,2022,16.47
-43,148,2000,17.17
-43,148,2001,16.93
-43,148,2002,17.04
-43,148,2003,16.89
-43,148,2004,16.26
-43,148,2005,17.11
-43,148,2006,16.52
-43,148,2007,17.2
-43,148,2008,16.78
-43,148,2009,16.61
-43,148,2010,17.03
-43,148,2011,16.35
-43,148,2012,17
-43,148,2013,17.06
-43,148,2014,17.21
-43,148,2015,16.6
-43,148,2016,17.14
-43,148,2017,17.3
-43,148,2018,17.08
-43,148,2019,17.46
-43,148,2020,16.49
-43,148,2021,16.52
-43,148,2022,16.29
-42,146,2000,12.55
-42,146,2001,12.37
-42,146,2002,12.03
-42,146,2003,12.14
-42,146,2004,11.46
-42,146,2005,12.25
-42,146,2006,11.81
-42,146,2007,12.86
-42,146,2008,12.02
-42,146,2009,12.34
-42,146,2010,12.21
-42,146,2011,12.14
-42,146,2012,12.25
-42,146,2013,12.46
-42,146,2014,12.86
-42,146,2015,12.24
-42,146,2016,12.34
-42,146,2017,12.54
-42,146,2018,12.63
-42,146,2019,12.39
-42,146,2020,11.92
-42,146,2021,12.07
-42,146,2022,12.59
-42,147,2000,12.1
-42,147,2001,11.78
-42,147,2002,11.99
-42,147,2003,11.91
-42,147,2004,11.27
-42,147,2005,11.93
-42,147,2006,11.67
-42,147,2007,12.51
-42,147,2008,11.82
-42,147,2009,11.91
-42,147,2010,11.95
-42,147,2011,11.57
-42,147,2012,11.94
-42,147,2013,12.11
-42,147,2014,12.52
